Puesto,Empresa,Ubicación,Link
INGENIERO/A DE SISTEMAS DE CONTROL,Actualizado hace 6 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/ingeniero-a-de-sistemas-de-control-gentile-y-asociados-consultores-1117579346.html
Project Manager - Mix (On site - Remoto) - 1686,Actualizado hace 6 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/project-manager-mix-on-site-remoto-1686-aliantec-1117577723.html
QA Ssr,ACCIONA IT,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/qa-ssr-acciona-it-1117574460.html
Analista de Seguridad Técnica I Cerro Negro I Santa Cruz,Brinks Argentina S.A.,"Santa Cruz, Santa Cruz",https://www.bumeran.com.ar/empleos/analista-de-seguridad-tecnica-i-cerro-negro-i-santa-cruz-brinks-argentina-s.a.-1117426921.html
Asesor/a técnico/a - Zona Martínez,Actualizado hace más de 15 días,"Martínez, Buenos Aires",https://www.bumeran.com.ar/empleos/asesor-a-tecnico-a-zona-martinez-1117554413.html
Ejecutivo de cuentas,Actualizado hace 6 días,"Martínez, Buenos Aires",https://www.bumeran.com.ar/empleos/ejecutivo-de-cuentas-1117555280.html
Field Services Specialist (Eventual),Actualizado hace 14 días,"Vicente López, Buenos Aires",https://www.bumeran.com.ar/empleos/field-services-specialist-eventual-nestle-argentina-1117531796.html
Analista de Aplicaciones,Actualizado ayer,"General Rodríguez, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-aplicaciones-mastellone-hnos-1117530542.html
Técnico de Campo FTTH,Actualizado hace más de 15 días,"Santa Fe, Santa Fe",https://www.bumeran.com.ar/empleos/tecnico-de-campo-ftth-boldt-1117532561.html
"Oportunidades en Tecnología – Desarrolladores Front-End, Back-End y Full Stack",Grupo STT,"Buenos Aires, Buenos Aires",https://www.bumeran.com.ar/empleos/oportunidades-en-tecnologia--desarrolladores-front-end-back-end-y-full-stack-grupo-stt-1117530538.html
Ejecutivo de Ventas Digitales- Remoto,Actualizado hace 12 días,"Buenos Aires, Buenos Aires",https://www.bumeran.com.ar/empleos/ejecutivo-de-ventas-digitales-remoto-grupo-stt-1117530225.html
Accounts Manager TI- Remoto,Grupo STT,"Buenos Aires, Buenos Aires",https://www.bumeran.com.ar/empleos/accounts-manager-ti-remoto-grupo-stt-1117530052.html
Service Delivery Engineer,Cirion Technologies,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/service-delivery-engineer-cirion-technologies-1117532559.html
Field Operations Specialist,Cirion Technologies,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/field-operations-specialist-cirion-technologies-1117532458.html
Senior Project Manager,WE ARE REMOTERS,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/senior-project-manager-we-are-remoters-1117525827.html
Ingeniero/Tecnico para Soporte de IT,Actualizado hace más de 15 días,"González Catan, Buenos Aires",https://www.bumeran.com.ar/empleos/ingeniero-tecnico-para-soporte-de-it-delaburo-1117532170.html
Desarrollador Full Stack .NET,Actualizado hace 8 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-full-stack-.net-uade-1117506126.html
Salesforce Lead Developer - Remoto- Remoto - 1553,Aliantec,"Buenos Aires, Buenos Aires",https://www.bumeran.com.ar/empleos/salesforce-lead-developer-remoto-remoto-1553-aliantec-1117506627.html
QA Ssr,ACCIONA IT,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/qa-ssr-acciona-it-1117506122.html
Ingeniero Cloud,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/ingeniero-cloud-acciona-it-1117505053.html
QA Funcional,Actualizado hace más de 15 días,"Saavedra, Buenos Aires",https://www.bumeran.com.ar/empleos/qa-funcional-talent-hub-1117501723.html
Sales Operation Senior Analyst IT,Actualizado ayer,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/sales-operation-senior-analyst-it-experis-1117400284.html
Analista de Seguridad de Aplicaciones,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-seguridad-de-aplicaciones-uade-1117400189.html
Administrador de base de datos Postgres,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/administrador-de-base-de-datos-postgres-uade-1117399412.html
Academia Java,Actualizado hace 13 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/academia-java-softtek-1117406153.html
Auditor IT Semi Senior,Actualizado hace 2 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/auditor-it-semi-senior-mvl-consulting-srl-1117409966.html
Analista de Infraestructura,Baires HR,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-infraestructura-baires-hr-1117366205.html
Desarrollador PHP,ACCIONA IT,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-php-acciona-it-1117410805.html
"Sistemas, redes y soporte técnico - Córdoba",Actualizado hace 5 horas,"Córdoba, Córdoba",https://www.bumeran.com.ar/empleos/sistemas-redes-y-soporte-tecnico-cordoba-1117383894.html
Soporte IT,Actualizado hace 8 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/soporte-it-1117376334.html
COORDINADOR DE SISTEMAS - VICENTE LOPEZ - GBA NORTE,Actualizado hace 6 días,"Vicente López, Buenos Aires",https://www.bumeran.com.ar/empleos/coordinador-de-sistemas-vicente-lopez-gba-norte-1117381159.html
Analista Funcional (Business Partner),Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-funcional-business-partner-mooks-1117379536.html
Estamos buscando Líder QA – Testing,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/estamos-buscando-lider-qa--testing-mooks-1117379424.html
Ejecutivo de ventas b2b seguridad electronica,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/ejecutivo-de-ventas-b2b-seguridad-electronica-1117355162.html
Tecnico Instalador fibra optica,Actualizado hace más de 15 días,"Berazategui, Buenos Aires",https://www.bumeran.com.ar/empleos/tecnico-instalador-fibra-optica-cromach-1117385167.html
DBA Oracle,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/dba-oracle-acciona-it-1117380010.html
QA Automation,Actualizado ayer,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/qa-automation-acciona-it-1117377159.html
Network Administrador SR,Actualizado ayer,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/network-administrador-sr-salution-hr-1117376330.html
Soporte Técnico On Site Junior,ACCIONA IT,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/soporte-tecnico-on-site-junior-acciona-it-1117374639.html
Operador Data center,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/operador-data-center-boldt-1117358712.html
Administrador de Redes y Comunicaciones,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/administrador-de-redes-y-comunicaciones-boldt-1117358592.html
call center,Actualizado hace 2 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/call-center-estudio-galvez-1117359681.html
Servicio Técnico - Apple Service Provider - ROSARIO,Actualizado hace 2 días,"Rosario, Santa Fe",https://www.bumeran.com.ar/empleos/servicio-tecnico-apple-service-provider-rosario-oneclick-1117350973.html
Desarrollador/a FullStack Senior (Python – JavaScript – Node.js – Angular/React),Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-a-fullstack-senior-python--javascript--node.js--angular-react-sumanos-consultora-de-recursos-humanos-1117360058.html
Analista QA - Remoto - 1658,Aliantec,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-qa-remoto-1658-aliantec-1117359898.html
Coordinador de Sistemas (Zona Norte),Actualizado ayer,"Belén de Escobar, Buenos Aires",https://www.bumeran.com.ar/empleos/coordinador-de-sistemas-zona-norte-hucap-1117353065.html
Perfil Junior,B&B Consultores,"Rosario, Santa Fe",https://www.bumeran.com.ar/empleos/perfil-junior-bb-consultores-1117352262.html
Desarrollador .Net,Megatlon,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-.net-megatlon-1117327344.html
Analista de Ciberseguridad SR,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-ciberseguridad-sr-softtek-1117326683.html
Team Leader Comercial,Actualizado hace 3 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/team-leader-comercial-vinculos-consultores-en-rrhh-1117342466.html
QA Automation Sr. - Mix (On Site & Remoto) - 1675,Aliantec,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/qa-automation-sr.-mix-on-site-remoto-1675-aliantec-1117333601.html
Soporte técnico-Martinez,Actualizado hace más de 15 días,"Martínez, Buenos Aires",https://www.bumeran.com.ar/empleos/soporte-tecnico-martinez-acciona-it-1117324791.html
Site Reliability Engineering (SRE) Sr,B&B Consultores,"Santa Rosa, La Pampa",https://www.bumeran.com.ar/empleos/site-reliability-engineering-sre-sr-bb-consultores-1117323389.html
Desarrollador/a de Procesos con Inteligencia Artificial,GI GROUP Argentina,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-a-de-procesos-con-inteligencia-artificial-gi-group-argentina-1117846502.html
Torrista especialista en trabajos en altura,Gestión Humana,"Villa Adelina, Buenos Aires",https://www.bumeran.com.ar/empleos/torrista-especialista-en-trabajos-en-altura-gestion-humana-1117815746.html
Fullstack Tech Lead (Nest/Next.js),AccelRH,Buenos Aires,https://www.bumeran.com.ar/empleos/fullstack-tech-lead-nest-next.js-accelrh-1117814459.html
Desarrollador IOS Jr,Banco Hipotecario,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-ios-jr-banco-hipotecario-1117840118.html
Analista de Procesos Ssr,Enta Consulting,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-procesos-ssr-enta-consulting-1117804453.html
Programador,Epsylon solutions,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/programador-epsylon-solutions-1117788213.html
Responsable de Aplicativos,X-28 Alarmas,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/responsable-de-aplicativos-x-28-alarmas-1117788176.html
Desarrollador Fullstack JR,Banco Hipotecario,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-fullstack-jr-banco-hipotecario-1117795569.html
Analista de Datos,Actualizado ayer,"Vicente López, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-datos-cecilia-verardo-1117749350.html
UX Writer Sr (Remoto - Argentina),Pamela Yedro,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/ux-writer-sr-remoto-argentina-pamela-yedro-1117748622.html
Líder de Infraestructura Tecnológica & Soporte,Actualizado hace 6 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/lider-de-infraestructura-tecnologica-soporte-daniel-1117739251.html
UI Visual Designer SR (Remoto - ARG),Pamela Yedro,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/ui-visual-designer-sr-remoto-arg-pamela-yedro-1117739094.html
Analista de datos,AS Recursos Humanos,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-datos-as-recursos-humanos-1117751642.html
Product Manager,Cirion Technologies,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/product-manager-cirion-technologies-1117689228.html
Data Entry,FACTOR CLAVE S.A.,"Córdoba, Córdoba",https://www.bumeran.com.ar/empleos/data-entry-factor-clave-s.a.-1117740488.html
Jefe de Gestión de proyectos (PMO),María de la Paz Sarmiento,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/jefe-de-gestion-de-proyectos-pmo-maria-de-la-paz-sarmiento-1117722787.html
Analista Desarrollador CRM JR,Banco Hipotecario,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-desarrollador-crm-jr-banco-hipotecario-1117732400.html
Analista funcional Ssr,Enta Consulting,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-funcional-ssr-enta-consulting-1117728989.html
Desarrollador Mobile React Native SSR,Softtek,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-mobile-react-native-ssr-softtek-1117692385.html
Soporte Técnico Onsite IT,Actualizado hace 12 días,"Zarate, Buenos Aires",https://www.bumeran.com.ar/empleos/soporte-tecnico-onsite-it-atos-argentina-1117689707.html
Analista de Publicaciones Online,María de la Paz Sarmiento,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-publicaciones-online-maria-de-la-paz-sarmiento-1117728775.html
Desarrollador Front End React Ssr,Banco Hipotecario,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-front-end-react-ssr-banco-hipotecario-1117724198.html
Desarrollador SAP HANA SR,Pamela Yedro,"Córdoba, Córdoba",https://www.bumeran.com.ar/empleos/desarrollador-sap-hana-sr-pamela-yedro-1117604186.html
Analista Técnico Funcional de Netsuite,Agro&Tec,"Buenos Aires, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-tecnico-funcional-de-netsuite-agrotec-1117693416.html
Analista de Monitoreo,COELSA,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-monitoreo-coelsa-1117553987.html
Backend .NET Developer,CONSULTORA ACTIF RH,"La Plata, Buenos Aires",https://www.bumeran.com.ar/empleos/backend-.net-developer-consultora-actif-rh-1117582583.html
Analista JR DevOps,Banco Hipotecario,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-jr-devops-banco-hipotecario-1117578235.html
Especialista Funcional de CRM,GST,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/especialista-funcional-de-crm-gst-1117576992.html
DJANGO FULL STACK DEVELOPER,Actualizado hace más de 15 días,"Colonia Caroya, Córdoba",https://www.bumeran.com.ar/empleos/django-full-stack-developer-27-09295183-4-1117534923.html
QA Automation Sr,Actualizado ayer,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/qa-automation-sr-pamela-yedro-1117530660.html
Profesional de Sistemas - Lider de Equipo,Actualizado hace 11 días,"Bernal, Buenos Aires",https://www.bumeran.com.ar/empleos/profesional-de-sistemas-lider-de-equipo-distribuidora-de-galletitas-y-alimentos-del-sur-s.a-1117552507.html
Jefe de continuidad y operador de aplicaciones,MARCELA lema,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/jefe-de-continuidad-y-operador-de-aplicaciones-marcela-lema-1117505821.html
Técnico de Celulares,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/tecnico-de-celulares-marcelo-zunino-1117532459.html
Analista de Prevención de Fraude,COELSA,,https://www.bumeran.com.ar/empleos/analista-de-prevencion-de-fraude-coelsa-1117408215.html
Desarrollador FrontEnd,Grupo Petersen,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-frontend-grupo-petersen-1117500359.html
Desarrollador Full Stack,CAR ONE,"Tortuguitas, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-full-stack-car-one-1117499885.html
Jefe de Continuidad y Operación de Aplicaciones,PRÜNE,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/jefe-de-continuidad-y-operacion-de-aplicaciones-prune-1117380718.html
Instalador CATV/INTERNET/FIBRA OPTICA,SICSA,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/instalador-catv-internet-fibra-optica-sicsa-1117378766.html
Support - VoIP Engineer,WE ARE REMOTERS,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/support-voip-engineer-we-are-remoters-1117367661.html
Support - Network Engineer,WE ARE REMOTERS,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/support-network-engineer-we-are-remoters-1117367657.html
Project Coordinator,WE ARE REMOTERS,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/project-coordinator-we-are-remoters-1117366719.html
Líder de SOC,Grupo Petersen,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/lider-de-soc-grupo-petersen-1117410439.html
Technical Account Manager,Italentitalentconnection Consultora,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/technical-account-manager-italentitalentconnection-consultora-1117408771.html
ANALISTA FUNCIONAL,IC Consultora,"General Pacheco, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-funcional-ic-consultora-1117402758.html
Software Engineer Java Ssr (Argentina - Remoto),Pamela Yedro,,https://www.bumeran.com.ar/empleos/software-engineer-java-ssr-argentina-remoto-pamela-yedro-1117353172.html
Analista Jr. de Gestión de proyectos - copia,María de la Paz Sarmiento,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-jr.-de-gestion-de-proyectos-copia-maria-de-la-paz-sarmiento-1117382587.html
Técnico Electrónico/Informático,Actualizado hace más de 15 días,"Rosario, Santa Fe",https://www.bumeran.com.ar/empleos/tecnico-electronico-informatico-simatic-1117376525.html
Data Analyst,Hanseatica Compañía de Seguros,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/data-analyst-hanseatica-compania-de-seguros-1117376437.html
Líder desarrollo,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/lider-desarrollo-think-solutions-group-1117365450.html
Especialista en Soporte Técnico,Actualizado hace 3 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/especialista-en-soporte-tecnico-german-torre-1117365123.html
Desarollador SR,Baires HR,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarollador-sr-baires-hr-1117329572.html
Analista Programador/a Visual FoxPro,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-programador-a-visual-foxpro-prestigio-1117248510.html
Lider de Base de Datos,COELSA,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/lider-de-base-de-datos-coelsa-1117229040.html
ANALISTA DE DESARROLLO Y GESTIÓN DE MODELOS,Banco Patagonia,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-desarrollo-y-gestion-de-modelos-banco-patagonia-1117327942.html
Líder de RPA y Automatización,Grupo Petersen,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/lider-de-rpa-y-automatizacion-grupo-petersen-1117325012.html
Analista Funcional RPA y Automatización,Grupo Petersen,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-funcional-rpa-y-automatizacion-grupo-petersen-1117324793.html
Programador/a Full Stack (.NET Core - Angular - SQL Server) para Optilink SRL (Optimi),Actualizado hace 8 días,"Santa Fe, Santa Fe",https://www.bumeran.com.ar/empleos/programador-a-full-stack-.net-core-angular-sql-server-para-optilink-srl-optimi-startia-consultores-1117257977.html
Soporte técnico para área de sistemas de Colegio Privado,Actualizado hace más de 15 días,"Morón, Buenos Aires",https://www.bumeran.com.ar/empleos/soporte-tecnico-para-area-de-sistemas-de-colegio-privado-1117254908.html
Profesores expertos en nuevas tecnologías orientados a adolescentes,Actualizado hace 4 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/profesores-expertos-en-nuevas-tecnologias-orientados-a-adolescentes-1117238267.html
AI Engineer (Remote-USD),Baires HR,"Buenos Aires, Buenos Aires",https://www.bumeran.com.ar/empleos/ai-engineer-remote-usd-baires-hr-1117231156.html
TÉCNICO EN SOPORTE E INFRAESTRUCTURA TI,Actualizado hace 12 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/tecnico-en-soporte-e-infraestructura-ti-1117221133.html
"Líder de Proyectos – ERP Odoo (Full-time, Relación de Dependencia)",Actualizado hace más de 15 días,"Banfield, Buenos Aires",https://www.bumeran.com.ar/empleos/lider-de-proyectos--erp-odoo-full-time-relacion-de-dependencia-abasto-software-1117218791.html
Desarrollador Ssr-Sr Python/XML para proyectos en Odoo (Freelance),Actualizado hace más de 15 días,"Banfield, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-ssr-sr-python-xml-para-proyectos-en-odoo-freelance-abasto-software-1117218653.html
Speaker en chino mandarín,Experis,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/speaker-en-chino-mandarin-experis-1117211970.html
Service management Officer,Bumeran Selecta,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/service-management-officer-bumeran-selecta-1117207516.html
Asistente de soporte al usuario Odoo ERP (Part-time y Full Time),Actualizado hace 2 días,"Banfield, Buenos Aires",https://www.bumeran.com.ar/empleos/asistente-de-soporte-al-usuario-odoo-erp-part-time-y-full-time-abasto-software-1117204531.html
Técnico IT,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/tecnico-it-1117203633.html
Técnico IT,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/tecnico-it-1117203574.html
Analista Funcional- RHPro,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-funcional-rhpro-gestion-compartida-s.a.-1117169711.html
Soporte Técnico,Actualizado hace más de 15 días,"Villa Adelina, Buenos Aires",https://www.bumeran.com.ar/empleos/soporte-tecnico-dapsa-1117158127.html
Data Entry (Parque Pratricios),Adecco -Región GBA Suroeste,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/data-entry-parque-pratricios-adecco-region-gba-suroeste-1117158131.html
Data Entry (Morón),Confidencial,"Morón, Buenos Aires",https://www.bumeran.com.ar/empleos/data-entry-moron-1117158128.html
Analista de programación - Turno Noche,Actualizado hace 2 días,"Ramos Mejía, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-programacion-turno-noche-reportv-1117156929.html
Analista de programación - Turno mañana,Actualizado hace 2 días,"Ramos Mejía, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-de-programacion-turno-manana-reportv-1117156831.html
Especialista en Automatización,Cirion Technologies,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/especialista-en-automatizacion-cirion-technologies-1117155113.html
Project Manager,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/project-manager-medife-1117154971.html
Tecnico Electronico,Señalco Sudamericana S.A.,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/tecnico-electronico-senalco-sudamericana-s.a.-1117145176.html
FullStack con foco en Frontend (React),Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/fullstack-con-foco-en-frontend-react-mindit-hr-agency-1117147911.html
Soporte Técnico,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/soporte-tecnico-1117143165.html
BACKEND DEVELOPER,Actualizado hace 2 días,"11 de Septiembre, Buenos Aires",https://www.bumeran.com.ar/empleos/backend-developer-construex-1117135330.html
Analista Funcional,Actualizado hace más de 15 días,"Pérez, Santa Fe",https://www.bumeran.com.ar/empleos/analista-funcional-maincal-sa-1117132038.html
Tecnico en soporte,Actualizado hace 14 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/tecnico-en-soporte-1117135382.html
Analista SSr de inventarios y BI req193214 permanente,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-ssr-de-inventarios-y-bi-req193214-permanente-manpower-1117133771.html
Responsable de Tecnología (Villa Mercedes- Presencial),Actualizado hace más de 15 días,"Villa Mercedes, San Luis",https://www.bumeran.com.ar/empleos/responsable-de-tecnologia-villa-mercedes-presencial-one-select-1117132212.html
TECNICO DE INSTALACIONES DOMICILIARIAS,Actualizado hace más de 15 días,"Berazategui, Buenos Aires",https://www.bumeran.com.ar/empleos/tecnico-de-instalaciones-domiciliarias-1117125306.html
Coordinador de Soporte IT,Bumeran Selecta,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/coordinador-de-soporte-it-bumeran-selecta-1117122763.html
Jefe de Sistemas-Mendoza,Actualizado hace más de 15 días,"Palmira, Mendoza",https://www.bumeran.com.ar/empleos/jefe-de-sistemas-mendoza-1117123428.html
Desarrollador/a Mobile (Flutter/Kotlin),Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollador-a-mobile-flutter-kotlin-mindit-hr-agency-1117121961.html
306CO | SERVICE ENGINEER | CORDOBA,Actualizado hace más de 15 días,"Córdoba, Córdoba",https://www.bumeran.com.ar/empleos/306co-|-service-engineer-|-cordoba-cona-consultores-en-rrhh-1117089981.html
Gerente de Sistemas,Actualizado hace 8 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/gerente-de-sistemas-novatech-solutions-sa-1116755494.html
Técnico de Soporte Informático,Confidencial,"Olivos, Buenos Aires",https://www.bumeran.com.ar/empleos/tecnico-de-soporte-informatico-1116536882.html
Soporte de Telecomunicaciones Ssr/ Sr,Cirion Technologies,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/soporte-de-telecomunicaciones-ssr-sr-cirion-technologies-1117074180.html
Técnico Electrónico Electricista,Actualizado hace más de 15 días,"Córdoba, Córdoba",https://www.bumeran.com.ar/empleos/tecnico-electronico-electricista-magic-1116752595.html
Programador PHP8,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/programador-php8-fidelitas-1117064506.html
Team Leader de Sistemas,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/team-leader-de-sistemas-1117066332.html
Especialista en implementación de IA,Actualizado ayer,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/especialista-en-implementacion-de-ia-1117062769.html
Analista Funcional - Sanatorio Anchorena Zarate,Actualizado hace 6 días,"Zarate, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-funcional-sanatorio-anchorena-zarate-union-personal-1117061724.html
Desarrollo de Sistemas - IT,Actualizado hace 14 minutos,"Burzaco, Buenos Aires",https://www.bumeran.com.ar/empleos/desarrollo-de-sistemas-it-1117061049.html
Programador NET legacy,Actualizado hace 2 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/programador-net-legacy-1117049307.html
Coordinador/a de Monitoreo,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/coordinador-a-de-monitoreo-mooks-1117048537.html
Gerente de IT,Actualizado hace más de 15 días,"Buenos Aires, Buenos Aires",https://www.bumeran.com.ar/empleos/gerente-de-it-1117037047.html
Tec electrónico especializado en electromedicina,Actualizado hace más de 15 días,"Capital Federal, Buenos Aires",https://www.bumeran.com.ar/empleos/tec-electronico-especializado-en-electromedicina-1117041961.html
Analista Funcional Semi Senior,Actualizado hace más de 15 días,"Buenos Aires, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-funcional-semi-senior-south-america-implants-sa-1117039446.html
Inspector UT N1/N2,Bruke S.A.,"Dock Sud, Buenos Aires",https://www.bumeran.com.ar/empleos/inspector-ut-n1-n2-bruke-s.a.-1117037612.html
Analista Funcional Junior,Actualizado hace más de 15 días,"Buenos Aires, Buenos Aires",https://www.bumeran.com.ar/empleos/analista-funcional-junior-south-america-implants-sa-1117037408.html
